Metric Category,Metric Name,Value
Broker,CPU Min (%),1.55131
Broker,CPU Max (%),18.49234
Broker,CPU Avg (%),5.97490
Broker,CPU Variance,14.23295
Broker,Memory Min (MB),51.49918
Broker,Memory Max (MB),51.53256
Broker,Memory Avg (MB),51.52059
Broker,Memory Variance,0.00004
Messaging,Latency Min (ms),0.41890
Messaging,Latency Max (ms),445.44768
Messaging,Latency Avg (ms),91.39268
Messaging,Latency Variance,5258.52795
Messaging,Throughput (msgs/sec),106.16732
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,18736
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,18736
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18736
Purpose Correctness,Total Received,18736
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
