Metric Category,Metric Name,Value
Broker,CPU Min (%),11.95039
Broker,CPU Max (%),15.65714
Broker,CPU Avg (%),13.31687
Broker,CPU Variance,0.34138
Broker,Memory Min (MB),50.44235
Broker,Memory Max (MB),51.45123
Broker,Memory Avg (MB),51.03198
Broker,Memory Variance,0.17639
Messaging,Latency Min (ms),-2.56014
Messaging,Latency Max (ms),189.21971
Messaging,Latency Avg (ms),33.50645
Messaging,Latency Variance,671.23852
Messaging,Throughput (msgs/sec),296.05197
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,53178
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,53178
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,53178
Purpose Correctness,Total Received,53178
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
