Metric Category,Metric Name,Value
Broker,CPU Min (%),50.87925
Broker,CPU Max (%),57.49415
Broker,CPU Avg (%),52.20798
Broker,CPU Variance,2.31967
Broker,Memory Min (MB),86.15493
Broker,Memory Max (MB),86.19885
Broker,Memory Avg (MB),86.17443
Broker,Memory Variance,0.00026
Messaging,Latency Min (ms),-0.47708
Messaging,Latency Max (ms),43.24412
Messaging,Latency Avg (ms),2.50324
Messaging,Latency Variance,5.59692
Messaging,Throughput (msgs/sec),107.90287
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,18836
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,18836
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18836
Purpose Correctness,Total Received,18836
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
