Metric Category,Metric Name,Value
Broker,CPU Min (%),12.10046
Broker,CPU Max (%),16.28702
Broker,CPU Avg (%),13.32937
Broker,CPU Variance,0.35163
Broker,Memory Min (MB),41.39133
Broker,Memory Max (MB),41.61751
Broker,Memory Avg (MB),41.48720
Broker,Memory Variance,0.00209
Messaging,Latency Min (ms),-2.95162
Messaging,Latency Max (ms),193.20393
Messaging,Latency Avg (ms),34.77220
Messaging,Latency Variance,661.97334
Messaging,Throughput (msgs/sec),303.20235
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,54564
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,54564
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,54564
Purpose Correctness,Total Received,54564
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
