Metric Category,Metric Name,Value
Broker,CPU Min (%),12.55760
Broker,CPU Max (%),16.06949
Broker,CPU Avg (%),14.03444
Broker,CPU Variance,0.31776
Broker,Memory Min (MB),45.97892
Broker,Memory Max (MB),46.20260
Broker,Memory Avg (MB),46.07087
Broker,Memory Variance,0.00158
Messaging,Latency Min (ms),-9.87530
Messaging,Latency Max (ms),142.88044
Messaging,Latency Avg (ms),19.32981
Messaging,Latency Variance,238.80514
Messaging,Throughput (msgs/sec),279.48355
Messaging,Avg Header Size (bytes),27.04933
Messaging,Data Messages,50238
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50238
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50238
Purpose Correctness,Total Received,50238
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
