Metric Category,Metric Name,Value
Broker,CPU Min (%),13.73802
Broker,CPU Max (%),23.92241
Broker,CPU Avg (%),17.24258
Broker,CPU Variance,4.65559
Broker,Memory Min (MB),46.13603
Broker,Memory Max (MB),97.86704
Broker,Memory Avg (MB),71.35459
Broker,Memory Variance,453.77923
Messaging,Latency Min (ms),-38.44452
Messaging,Latency Max (ms),69950.02985
Messaging,Latency Avg (ms),21055.64528
Messaging,Latency Variance,671127850.42769
Messaging,Throughput (msgs/sec),469.85765
Messaging,Avg Header Size (bytes),27.77057
Messaging,Data Messages,85431
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,27595
Purpose Correctness,Total Invalid Messages,57836
Purpose Correctness,Total Expected,48245
Purpose Correctness,Total Received,85431
Purpose Correctness,Total Rejected,17611
Purpose Correctness,Avg False Accept Rate,0.2145
Purpose Correctness,Avg False Reject Rate,0.1459
