Metric Category,Metric Name,Value
Broker,CPU Min (%),12.96729
Broker,CPU Max (%),24.48747
Broker,CPU Avg (%),17.05896
Broker,CPU Variance,5.17932
Broker,Memory Min (MB),63.60559
Broker,Memory Max (MB),97.97557
Broker,Memory Avg (MB),73.99502
Broker,Memory Variance,227.25644
Messaging,Latency Min (ms),-64.80765
Messaging,Latency Max (ms),46474.02263
Messaging,Latency Avg (ms),7433.81747
Messaging,Latency Variance,179600540.82659
Messaging,Throughput (msgs/sec),500.78522
Messaging,Avg Header Size (bytes),27.77811
Messaging,Data Messages,91109
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,26583
Purpose Correctness,Total Invalid Messages,64526
Purpose Correctness,Total Expected,36661
Purpose Correctness,Total Received,91109
Purpose Correctness,Total Rejected,9380
Purpose Correctness,Avg False Accept Rate,0.2104
Purpose Correctness,Avg False Reject Rate,0.1057
