Metric Category,Metric Name,Value
Broker,CPU Min (%),12.58065
Broker,CPU Max (%),17.49137
Broker,CPU Avg (%),14.14406
Broker,CPU Variance,0.48146
Broker,Memory Min (MB),46.05278
Broker,Memory Max (MB),46.34152
Broker,Memory Avg (MB),46.16060
Broker,Memory Variance,0.00245
Messaging,Latency Min (ms),-7.44510
Messaging,Latency Max (ms),139.68706
Messaging,Latency Avg (ms),18.90737
Messaging,Latency Variance,265.96014
Messaging,Throughput (msgs/sec),278.64698
Messaging,Avg Header Size (bytes),27.17290
Messaging,Data Messages,50178
Messaging,Non-Data Messages,1496
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50178
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50178
Purpose Correctness,Total Received,50178
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,1360
OP Correctness,Total Actual Responses,1360
OP Correctness,Total Relevant Requests Recieved,136
OP Correctness,Total Irrelevant Requests Recieved,1224
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,1.0000
OP Correctness,Avg Completion,1.0000
