Metric Category,Metric Name,Value
Broker,CPU Min (%),2.35018
Broker,CPU Max (%),17.04261
Broker,CPU Avg (%),8.78550
Broker,CPU Variance,21.68208
Broker,Memory Min (MB),43.47993
Broker,Memory Max (MB),43.53914
Broker,Memory Avg (MB),43.51366
Broker,Memory Variance,0.00019
Messaging,Latency Min (ms),-8.20899
Messaging,Latency Max (ms),2226.03202
Messaging,Latency Avg (ms),29.63482
Messaging,Latency Variance,11670.28585
Messaging,Throughput (msgs/sec),105.96209
Messaging,Avg Header Size (bytes),27.83138
Messaging,Data Messages,18711
Messaging,Non-Data Messages,13736
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,18711
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18711
Purpose Correctness,Total Received,18711
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,13600
OP Correctness,Total Actual Responses,13600
OP Correctness,Total Relevant Requests Recieved,732
OP Correctness,Total Irrelevant Requests Recieved,12868
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,1.0000
OP Correctness,Avg Completion,1.0000
