Metric Category,Metric Name,Value
Broker,CPU Min (%),1.63934
Broker,CPU Max (%),17.11712
Broker,CPU Avg (%),8.65413
Broker,CPU Variance,23.15437
Broker,Memory Min (MB),43.63230
Broker,Memory Max (MB),43.69160
Broker,Memory Avg (MB),43.66450
Broker,Memory Variance,0.00028
Messaging,Latency Min (ms),-12.00414
Messaging,Latency Max (ms),762.62164
Messaging,Latency Avg (ms),119.91409
Messaging,Latency Variance,17346.23095
Messaging,Throughput (msgs/sec),290.02399
Messaging,Avg Header Size (bytes),27.10510
Messaging,Data Messages,50863
Messaging,Non-Data Messages,1496
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,17901
Purpose Correctness,Total Invalid Messages,32962
Purpose Correctness,Total Expected,17882
Purpose Correctness,Total Received,50863
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.2579
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,1360
OP Correctness,Total Actual Responses,1360
OP Correctness,Total Relevant Requests Recieved,499
OP Correctness,Total Irrelevant Requests Recieved,861
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,1.0000
OP Correctness,Avg Completion,1.0000
