Metric Category,Metric Name,Value
Broker,CPU Min (%),12.24269
Broker,CPU Max (%),16.11842
Broker,CPU Avg (%),14.01297
Broker,CPU Variance,0.34010
Broker,Memory Min (MB),39.92746
Broker,Memory Max (MB),40.15259
Broker,Memory Avg (MB),40.02854
Broker,Memory Variance,0.00188
Messaging,Latency Min (ms),-10.25081
Messaging,Latency Max (ms),183.93540
Messaging,Latency Avg (ms),20.30458
Messaging,Latency Variance,287.29478
Messaging,Throughput (msgs/sec),281.56819
Messaging,Avg Header Size (bytes),27.04939
Messaging,Data Messages,50658
Messaging,Non-Data Messages,1496
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50658
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50658
Purpose Correctness,Total Received,50658
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,1360
OP Correctness,Total Actual Responses,1360
OP Correctness,Total Relevant Requests Recieved,478
OP Correctness,Total Irrelevant Requests Recieved,882
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.7206
OP Correctness,Avg Completion,1.0000
