Metric Category,Metric Name,Value
Broker,CPU Min (%),13.79691
Broker,CPU Max (%),25.30658
Broker,CPU Avg (%),17.15956
Broker,CPU Variance,4.71769
Broker,Memory Min (MB),56.20796
Broker,Memory Max (MB),97.87662
Broker,Memory Avg (MB),74.64042
Broker,Memory Variance,319.59373
Messaging,Latency Min (ms),-62.67905
Messaging,Latency Max (ms),71984.94720
Messaging,Latency Avg (ms),15574.08442
Messaging,Latency Variance,536676149.66535
Messaging,Throughput (msgs/sec),441.29623
Messaging,Avg Header Size (bytes),27.77239
Messaging,Data Messages,79398
Messaging,Non-Data Messages,12339
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,26665
Purpose Correctness,Total Invalid Messages,52733
Purpose Correctness,Total Expected,44158
Purpose Correctness,Total Received,79398
Purpose Correctness,Total Rejected,15680
Purpose Correctness,Avg False Accept Rate,0.2103
Purpose Correctness,Avg False Reject Rate,0.1430
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,12203
OP Correctness,Total Actual Responses,12200
OP Correctness,Total Relevant Requests Recieved,383
OP Correctness,Total Irrelevant Requests Recieved,11820
OP Correctness,Avg Coverage,0.8603
OP Correctness,Avg Leakage,0.9137
OP Correctness,Avg Completion,0.9997
