Metric Category,Metric Name,Value
Broker,CPU Min (%),0.00000
Broker,CPU Max (%),0.00000
Broker,CPU Avg (%),0.00000
Broker,CPU Variance,0.00000
Broker,Memory Min (MB),0.00000
Broker,Memory Max (MB),0.00000
Broker,Memory Avg (MB),0.00000
Broker,Memory Variance,0.00000
Messaging,Latency Min (ms),-29.62351
Messaging,Latency Max (ms),332.68261
Messaging,Latency Avg (ms),28.53739
Messaging,Latency Variance,786.16164
Messaging,Throughput (msgs/sec),112.26033
Messaging,Avg Header Size (bytes),27.10062
Messaging,Data Messages,19551
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,19520
Purpose Correctness,Total Invalid Messages,31
Purpose Correctness,Total Expected,19552
Purpose Correctness,Total Received,19551
Purpose Correctness,Total Rejected,1
Purpose Correctness,Avg False Accept Rate,0.0014
Purpose Correctness,Avg False Reject Rate,0.0000
