Metric Category,Metric Name,Value
Broker,CPU Min (%),9.96524
Broker,CPU Max (%),18.37381
Broker,CPU Avg (%),12.97391
Broker,CPU Variance,3.08924
Broker,Memory Min (MB),41.53758
Broker,Memory Max (MB),42.17942
Broker,Memory Avg (MB),41.73775
Broker,Memory Variance,0.02361
Messaging,Latency Min (ms),-22.58945
Messaging,Latency Max (ms),314.96477
Messaging,Latency Avg (ms),29.90532
Messaging,Latency Variance,1309.04956
Messaging,Throughput (msgs/sec),219.65455
Messaging,Avg Header Size (bytes),27.65895
Messaging,Data Messages,39463
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,39458
Purpose Correctness,Total Invalid Messages,5
Purpose Correctness,Total Expected,39467
Purpose Correctness,Total Received,39463
Purpose Correctness,Total Rejected,6
Purpose Correctness,Avg False Accept Rate,0.0001
Purpose Correctness,Avg False Reject Rate,0.0001
