Metric Category,Metric Name,Value
Broker,CPU Min (%),12.41758
Broker,CPU Max (%),16.04096
Broker,CPU Avg (%),13.95452
Broker,CPU Variance,0.47364
Broker,Memory Min (MB),41.56341
Broker,Memory Max (MB),41.92578
Broker,Memory Avg (MB),41.71276
Broker,Memory Variance,0.00547
Messaging,Latency Min (ms),-13.44180
Messaging,Latency Max (ms),186.53965
Messaging,Latency Avg (ms),21.79170
Messaging,Latency Variance,340.15652
Messaging,Throughput (msgs/sec),320.77318
Messaging,Avg Header Size (bytes),27.04778
Messaging,Data Messages,57708
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,57645
Purpose Correctness,Total Invalid Messages,63
Purpose Correctness,Total Expected,57708
Purpose Correctness,Total Received,57708
Purpose Correctness,Total Rejected,3
Purpose Correctness,Avg False Accept Rate,0.0011
Purpose Correctness,Avg False Reject Rate,0.0001
