Metric Category,Metric Name,Value
Broker,CPU Min (%),12.26636
Broker,CPU Max (%),15.71872
Broker,CPU Avg (%),13.67387
Broker,CPU Variance,0.27723
Broker,Memory Min (MB),41.88614
Broker,Memory Max (MB),42.14637
Broker,Memory Avg (MB),42.00912
Broker,Memory Variance,0.00281
Messaging,Latency Min (ms),-10.13947
Messaging,Latency Max (ms),143.14485
Messaging,Latency Avg (ms),19.27463
Messaging,Latency Variance,258.73009
Messaging,Throughput (msgs/sec),271.03968
Messaging,Avg Header Size (bytes),27.17229
Messaging,Data Messages,48756
Messaging,Non-Data Messages,252
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,48756
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,48756
Purpose Correctness,Total Received,48756
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,116
OP Correctness,Total Actual Responses,116
OP Correctness,Total Relevant Requests Recieved,133
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9779
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
