Metric Category,Metric Name,Value
Broker,CPU Min (%),2.16606
Broker,CPU Max (%),16.93712
Broker,CPU Avg (%),7.60175
Broker,CPU Variance,16.51118
Broker,Memory Min (MB),40.16309
Broker,Memory Max (MB),40.25222
Broker,Memory Avg (MB),40.21267
Broker,Memory Variance,0.00055
Messaging,Latency Min (ms),-31.41189
Messaging,Latency Max (ms),651.63898
Messaging,Latency Avg (ms),48.00285
Messaging,Latency Variance,4817.40759
Messaging,Throughput (msgs/sec),115.84724
Messaging,Avg Header Size (bytes),27.83138
Messaging,Data Messages,20271
Messaging,Non-Data Messages,681
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,20271
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,20271
Purpose Correctness,Total Received,20271
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,128
OP Correctness,Total Expected Responses,545
OP Correctness,Total Actual Responses,545
OP Correctness,Total Relevant Requests Recieved,633
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.8018
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
