Metric Category,Metric Name,Value
Broker,CPU Min (%),1.69903
Broker,CPU Max (%),16.06452
Broker,CPU Avg (%),7.15194
Broker,CPU Variance,15.53364
Broker,Memory Min (MB),63.68553
Broker,Memory Max (MB),63.72198
Broker,Memory Avg (MB),63.70739
Broker,Memory Variance,0.00012
Messaging,Latency Min (ms),-11.22952
Messaging,Latency Max (ms),168.21623
Messaging,Latency Avg (ms),23.44753
Messaging,Latency Variance,415.28502
Messaging,Throughput (msgs/sec),106.14893
Messaging,Avg Header Size (bytes),27.10062
Messaging,Data Messages,18536
Messaging,Non-Data Messages,436
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18536
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18536
Purpose Correctness,Total Received,18536
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,300
OP Correctness,Total Actual Responses,300
OP Correctness,Total Relevant Requests Recieved,322
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9234
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
