Metric Category,Metric Name,Value
Broker,CPU Min (%),10.02304
Broker,CPU Max (%),18.15068
Broker,CPU Avg (%),13.12124
Broker,CPU Variance,2.62264
Broker,Memory Min (MB),42.18605
Broker,Memory Max (MB),42.76000
Broker,Memory Avg (MB),42.36690
Broker,Memory Variance,0.02334
Messaging,Latency Min (ms),-23.41986
Messaging,Latency Max (ms),359.50375
Messaging,Latency Avg (ms),30.18059
Messaging,Latency Variance,1443.80399
Messaging,Throughput (msgs/sec),223.38900
Messaging,Avg Header Size (bytes),27.65731
Messaging,Data Messages,40104
Messaging,Non-Data Messages,945
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,40049
Purpose Correctness,Total Invalid Messages,55
Purpose Correctness,Total Expected,40104
Purpose Correctness,Total Received,40104
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0006
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,129
OP Correctness,Total Expected Responses,809
OP Correctness,Total Actual Responses,809
OP Correctness,Total Relevant Requests Recieved,874
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.7301
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
