Metric Category,Metric Name,Value
Broker,CPU Min (%),12.24944
Broker,CPU Max (%),16.30559
Broker,CPU Avg (%),13.72496
Broker,CPU Variance,0.45809
Broker,Memory Min (MB),47.88823
Broker,Memory Max (MB),48.21363
Broker,Memory Avg (MB),48.05821
Broker,Memory Variance,0.00542
Messaging,Latency Min (ms),-5.76162
Messaging,Latency Max (ms),180.77612
Messaging,Latency Avg (ms),20.60480
Messaging,Latency Variance,300.67711
Messaging,Throughput (msgs/sec),278.41788
Messaging,Avg Header Size (bytes),27.05109
Messaging,Data Messages,50142
Messaging,Non-Data Messages,439
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50142
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50142
Purpose Correctness,Total Received,50142
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,303
OP Correctness,Total Actual Responses,303
OP Correctness,Total Relevant Requests Recieved,332
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.8971
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
