Metric Category,Metric Name,Value
Broker,CPU Min (%),12.57209
Broker,CPU Max (%),15.95867
Broker,CPU Avg (%),13.91603
Broker,CPU Variance,0.29482
Broker,Memory Min (MB),41.54059
Broker,Memory Max (MB),41.77546
Broker,Memory Avg (MB),41.63050
Broker,Memory Variance,0.00196
Messaging,Latency Min (ms),-5.26571
Messaging,Latency Max (ms),152.22168
Messaging,Latency Avg (ms),18.48758
Messaging,Latency Variance,246.86140
Messaging,Throughput (msgs/sec),276.09013
Messaging,Avg Header Size (bytes),27.17277
Messaging,Data Messages,49626
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,49626
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,49626
Purpose Correctness,Total Received,49626
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
