Metric Category,Metric Name,Value
Broker,CPU Min (%),1.63934
Broker,CPU Max (%),16.85319
Broker,CPU Avg (%),6.76743
Broker,CPU Variance,16.10640
Broker,Memory Min (MB),46.86267
Broker,Memory Max (MB),46.88287
Broker,Memory Avg (MB),46.87541
Broker,Memory Variance,0.00002
Messaging,Latency Min (ms),-36.41486
Messaging,Latency Max (ms),179.48866
Messaging,Latency Avg (ms),23.36027
Messaging,Latency Variance,414.35341
Messaging,Throughput (msgs/sec),105.56307
Messaging,Avg Header Size (bytes),27.10493
Messaging,Data Messages,18482
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18482
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18482
Purpose Correctness,Total Received,18482
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
