Metric Category,Metric Name,Value
Broker,CPU Min (%),1.72202
Broker,CPU Max (%),17.20648
Broker,CPU Avg (%),5.87425
Broker,CPU Variance,13.55671
Broker,Memory Min (MB),81.83718
Broker,Memory Max (MB),81.89960
Broker,Memory Avg (MB),81.88570
Broker,Memory Variance,0.00009
Messaging,Latency Min (ms),-44.06953
Messaging,Latency Max (ms),135.00381
Messaging,Latency Avg (ms),16.82688
Messaging,Latency Variance,223.83006
Messaging,Throughput (msgs/sec),107.16869
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,18636
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,18636
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18636
Purpose Correctness,Total Received,18636
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
