Metric Category,Metric Name,Value
Broker,CPU Min (%),2.32829
Broker,CPU Max (%),18.14475
Broker,CPU Avg (%),7.50136
Broker,CPU Variance,16.95742
Broker,Memory Min (MB),46.91162
Broker,Memory Max (MB),47.68224
Broker,Memory Avg (MB),47.29616
Broker,Memory Variance,0.05158
Messaging,Latency Min (ms),-8.24642
Messaging,Latency Max (ms),208.28867
Messaging,Latency Avg (ms),13.01309
Messaging,Latency Variance,164.41203
Messaging,Throughput (msgs/sec),106.63158
Messaging,Avg Header Size (bytes),27.82940
Messaging,Data Messages,18611
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,18611
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18611
Purpose Correctness,Total Received,18611
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
