Metric Category,Metric Name,Value
Broker,CPU Min (%),12.50000
Broker,CPU Max (%),16.59039
Broker,CPU Avg (%),14.41355
Broker,CPU Variance,0.40343
Broker,Memory Min (MB),41.11669
Broker,Memory Max (MB),43.24563
Broker,Memory Avg (MB),42.20174
Broker,Memory Variance,0.34207
Messaging,Latency Min (ms),-16.27827
Messaging,Latency Max (ms),103.17183
Messaging,Latency Avg (ms),14.49226
Messaging,Latency Variance,179.52691
Messaging,Throughput (msgs/sec),268.13302
Messaging,Avg Header Size (bytes),27.66212
Messaging,Data Messages,47922
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,47922
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,47922
Purpose Correctness,Total Received,47922
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
