Metric Category,Metric Name,Value
Broker,CPU Min (%),2.49110
Broker,CPU Max (%),16.88708
Broker,CPU Avg (%),7.16475
Broker,CPU Variance,15.17205
Broker,Memory Min (MB),51.20797
Broker,Memory Max (MB),52.01765
Broker,Memory Avg (MB),51.59781
Broker,Memory Variance,0.05438
Messaging,Latency Min (ms),-55.33123
Messaging,Latency Max (ms),154.55723
Messaging,Latency Avg (ms),16.11149
Messaging,Latency Variance,385.51876
Messaging,Throughput (msgs/sec),107.03162
Messaging,Avg Header Size (bytes),27.92159
Messaging,Data Messages,18566
Messaging,Non-Data Messages,569
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,18566
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18566
Purpose Correctness,Total Received,18566
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,135
OP Correctness,Total Expected Responses,425
OP Correctness,Total Actual Responses,425
OP Correctness,Total Relevant Requests Recieved,515
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9206
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
