Metric Category,Metric Name,Value
Broker,CPU Min (%),1.85830
Broker,CPU Max (%),18.56128
Broker,CPU Avg (%),6.86882
Broker,CPU Variance,13.83786
Broker,Memory Min (MB),52.11786
Broker,Memory Max (MB),52.66850
Broker,Memory Avg (MB),52.36330
Broker,Memory Variance,0.02425
Messaging,Latency Min (ms),-12.94851
Messaging,Latency Max (ms),93.99438
Messaging,Latency Avg (ms),12.31103
Messaging,Latency Variance,142.49419
Messaging,Throughput (msgs/sec),93.45576
Messaging,Avg Header Size (bytes),27.93443
Messaging,Data Messages,16331
Messaging,Non-Data Messages,238
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,16331
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,16331
Purpose Correctness,Total Received,16331
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,102
OP Correctness,Total Actual Responses,102
OP Correctness,Total Relevant Requests Recieved,118
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.8676
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
